appid,platform_id
10,1
10,2
10,3
20,1
20,2
20,3
30,1
30,2
30,3
40,1
40,2
40,3
50,1
50,2
50,3
60,1
60,2
60,3
70,1
70,2
70,3
80,1
80,2
80,3
130,1
130,2
130,3
219,1
219,2
220,1
220,3
240,1
240,3
280,1
280,2
280,3
300,1
300,3
320,1
320,3
340,1
340,3
360,1
360,3
380,1
380,3
400,1
400,3
420,1
420,3
440,1
440,3
500,1
550,1
550,3
570,1
570,2
570,3
620,1
620,3
630,1
660,1
730,1
730,3
1002,1
1200,1
1200,2
1200,3
1230,1
1230,2
1230,3
1250,1
1250,2
1250,3
1256,1
1256,2
1256,3
1257,1
1257,2
1257,3
1280,1
1280,2
1280,3
1300,1
1313,1
1500,1
1500,2
1500,3
1502,1
1502,2
1502,3
1510,1
1510,2
1510,3
1520,1
1520,2
1520,3
1522,1
1530,1
1530,2
1540,1
1600,1
1610,1
1620,1
1630,1
1640,1
1670,1
1690,1
1700,1
1710,1
1840,1
1900,1
1900,2
1900,3
1920,1
1930,1
1930,2
1930,3
2100,1
2120,1
2200,1
2210,1
2270,1
2280,1
2310,1
2320,1
2400,1
2420,1
2450,1
2500,1
2500,2
2510,1
2520,1
2540,1
2590,1
2600,1
2610,1
2620,1
2630,1
2630,2
2640,1
2680,1
2690,1
2700,1
2710,1
2720,1
2730,1
2760,1
2790,1
2800,1
2810,1
2810,2
2810,3
2820,1
2820,2
2820,3
2840,1
2850,1
2870,1
2870,2
2870,3
2900,1
2910,1
2920,1
2950,1
2990,1
3010,1
3020,1
3050,1
3130,1
3170,1
3170,2
3190,1
3210,1
3230,1
3260,1
3270,1
3280,1
3300,1
3300,2
3302,1
3310,1
3310,2
3312,1
3320,1
3322,1
3330,1
3330,2
3332,1
3340,1
3342,1
3350,1
3352,1
3360,1
3362,1
3380,1
3382,1
3390,1
3392,1
3400,1
3410,1
3412,1
3420,1
3422,1
3430,1
3432,1
3450,1
3452,1
3460,1
3462,1
3480,1
3480,2
3482,1
3483,1
3490,1
3500,1
3502,1
3510,1
3512,1
3520,1
3522,1
3530,1
3532,1
3540,1
3540,2
3560,1
3562,1
3570,1
3572,1
3580,1
3582,1
3590,1
3590,2
3592,1
3600,1
3600,2
3602,1
3610,1
3612,1
3620,1
3622,1
3700,1
3710,1
3720,1
3730,1
3800,1
3810,1
3820,1
3830,1
3830,2
3830,3
3838,1
3838,2
3838,3
3839,1
3839,2
3839,3
3850,1
3900,1
3900,2
3910,1
3920,1
3960,1
3970,1
3980,1
3990,1
3990,2
4000,1
4000,2
4000,3
4100,1
4102,1
4230,1
4260,1
4290,1
4300,1
4310,1
4320,1
4400,1
4410,1
4420,1
4440,1
4460,1
4470,1
4500,1
4520,1
4530,1
4560,1
4570,1
4580,1
4600,1
4700,1
4700,2
4700,3
4710,1
4720,1
4760,1
4770,1
4780,1
4780,2
4780,3
4790,1
4800,1
4810,1
4820,1
4850,1
4856,1
4870,1
4880,1
4890,1
4900,1
4920,1
6000,1
6010,1
6010,2
6020,1
6020,2
6030,1
6030,2
6040,1
6040,2
6060,1
6080,1
6090,1
6120,1
6120,2
6120,3
6130,1
6200,1
6210,1
6220,1
6230,1
6250,1
6260,1
6270,1
6290,1
6300,1
6310,1
6320,1
6370,1
6400,1
6410,1
6420,1
6510,1
6580,1
6600,1
6800,1
6810,1
6830,1
6840,1
6850,1
6860,1
6870,1
6880,1
6900,1
6910,1
6920,1
6930,1
6940,1
6950,1
6980,1
7000,1
7010,1
7020,1
7030,1
7050,1
7110,1
7200,1
7210,1
7220,1
7230,1
7260,1
7280,1
7340,1
7400,1
7420,1
7440,1
7450,1
7470,1
7470,2
7510,1
7510,2
7510,3
7520,1
7520,2
7530,1
7530,2
7600,1
7600,2
7610,1
7620,1
7650,1
7660,1
7670,1
7710,1
7730,1
7740,1
7760,1
7770,1
7780,1
7800,1
7810,1
7830,1
7840,1
7860,1
7880,1
7890,1
7900,1
7910,1
7940,1
7940,2
7980,1
7990,1
8000,1
8010,1
8030,1
8080,1
8090,1
8100,1
8140,1
8150,1
8170,1
8180,1
8190,1
8310,1
8320,1
8330,1
8400,1
8500,1
8500,2
8600,1
8650,1
8660,1
8690,1
8700,1
8720,1
8750,1
8760,1
8780,1
8790,1
8800,1
8800,2
8820,1
8830,1
8850,1
8870,1
8870,2
8870,3
8880,1
8890,1
8900,1
8910,1
8930,1
8930,2
8930,3
8970,1
8980,1
8990,1
9010,1
9050,1
9060,1
9120,1
9180,1
9200,1
9300,1
9310,1
9340,1
9350,1
9400,1
9420,1
9450,1
9460,1
