appid,publisher_id
10,50182
20,50182
30,50182
40,50182
50,50182
60,50182
70,50182
80,50182
130,50182
220,50182
240,50182
280,50182
300,50182
320,50182
340,50182
360,50182
380,50182
400,50182
420,50182
440,50182
500,50182
550,50182
570,50182
620,50182
630,50182
660,85953
730,50182
1002,85613
1200,24342
1230,24342
1250,24342
1256,24342
1257,24342
1280,16050
1300,5268
1313,29233
1500,56363
1502,56363
1510,56363
1520,56363
1522,56363
1530,56363
1600,9088
1610,9088
1620,9088
1640,9088
1690,9088
1700,5428
1840,50182
1900,6447
1900,58448
1930,58448
2100,79211
2200,42674
2210,43964
2270,43964
2280,6006
2310,43964
2320,43964
2400,24321
2420,68798
2450,79211
2500,72513
2520,76778
2590,53107
2600,28941
2610,28941
2620,28941
2630,28941
2640,28941
2700,35895
2700,36814
2710,80967
2760,68310
2800,35318
2810,35318
2820,35318
2840,35318
2850,35318
2870,35318
2900,9088
2910,9088
2990,9088
3010,70841
3020,32486
3050,70841
3130,69179
3170,69179
3190,41511
3190,54713
3210,29463
3230,80967
3260,62920
3270,13806
3280,29463
3300,7126
3300,61060
3310,7126
3310,61060
3320,7126
3320,61060
3330,7126
3330,61060
3340,61060
3350,7126
3350,61060
3360,61060
3380,61060
3390,7126
3390,61060
3400,61060
3410,61060
3420,61060
3430,61060
3450,61060
3460,61060
3480,7126
3480,61060
3483,7126
3490,61060
3500,61060
3510,61060
3520,61060
3530,61060
3540,7126
3540,61060
3560,7126
3560,61060
3570,61060
3580,61060
3590,7126
3590,61060
3600,61060
3620,7126
3620,61060
3700,72295
3710,72295
3720,72295
3730,72295
3800,77579
3810,77579
3820,77579
3830,33163
3838,33163
3839,33163
3900,28257
3910,28257
3920,28257
3960,28257
3980,28257
3990,28257
4000,50182
4230,56097
4290,56097
4320,39410
4420,41052
4460,41052
4470,41052
4500,4911
4520,80967
4530,80967
4560,12848
4570,68364
4580,12848
4700,12848
4700,45305
4700,65298
4720,12848
4760,12848
4770,12848
4780,12848
4780,45305
4780,65298
4800,4911
4850,37817
4870,37817
4880,37817
4890,37817
4900,46833
4920,27785
4920,46833
6000,13670
6000,47421
6000,57180
6010,13670
6010,47421
6010,57180
6020,13670
6020,47421
6020,57180
6030,13670
6030,47421
6030,57180
6040,13670
6060,13670
6060,47421
6060,57180
6080,13670
6090,13670
6090,47421
6090,57180
6120,19761
6200,9088
6220,9088
6300,27367
6310,27367
6370,5821
6400,44418
6420,62920
6510,75649
6800,25428
6810,25428
6830,25428
6840,25428
6850,36524
6860,36524
6870,64578
6880,64578
6900,36170
6910,83756
6920,83756
6980,83756
7000,46554
7010,64578
7020,72295
7110,7126
7110,49049
7200,79211
7210,41052
7220,41052
7340,58543
7510,58448
7520,63074
7530,58448
7600,28257
7600,45305
7610,28257
7620,28257
7650,28257
7660,28257
7670,28257
7730,28257
7760,28257
7770,28257
7800,11073
7830,69179
7840,69179
7860,69179
7890,69179
7940,28941
7980,28941
7990,28941
8000,46554
8080,64578
8100,64578
8140,46554
8150,64578
8170,64578
8180,64578
8190,64578
8330,80430
8400,28941
8500,79915
8600,56097
8650,56097
8660,56097
8690,56097
8780,56097
8790,56097
8800,28257
8830,50578
8850,28257
8870,28257
8880,28257
8890,28257
8900,28257
8910,28257
8930,28257
8930,30738
8930,36814
8970,28257
8980,28257
8990,28257
9010,43964
9050,42674
9060,42674
9180,42674
9200,43964
9310,12848
9340,12848
9350,64578
9400,3672
9420,64578
9450,12848
9460,80967
9480,14189
9500,74483
9710,80967
9730,68310
9760,80967
9800,69179
9860,68310
9880,70875
9900,70875
9940,58301
9960,68310
9970,68310
9980,68310
10080,28941
10090,28941
10100,28941
10110,28941
10120,28941
10130,28941
10140,28941
10150,28941
10170,28941
10180,28941
10195,28941
10196,28941
10220,6028
10230,6028
10240,6028
10250,6028
10260,6028
10270,25428
10460,12848
10500,12848
10500,45305
10500,65298
10600,12848
10600,45305
10600,65298
10604,12848
10604,45305
10604,65298
10606,12848
10606,45305
10606,65298
10607,12848
10607,45305
10607,65298
10608,12848
10608,45305
10608,65298
10620,12848
10680,12848
10690,12848
10695,12848
10697,12848
11020,79211
11040,33830
11050,33830
11130,33830
11140,33830
11150,33830
11180,33830
11190,33830
11200,72513
11230,67518
11250,58480
11260,58480
11280,13048
11450,7126
11450,43389
11480,69179
11550,80967
11610,59088
12130,64783
12140,64783
12150,64783
12200,64783
12210,64783
12220,64783
12310,9088
12320,80967
12330,9088
12360,9088
12364,9088
12390,9088
12430,25428
12470,9088
12480,9088
12500,33339
12510,80751
12520,80751
12530,77579
12540,77579
12560,80751
12570,77579
12580,77579
12590,80751
12600,80751
12640,24037
12650,23330
12660,80751
12670,80751
12690,77579
12710,7126
12710,43389
12810,7126
12810,43389
13000,38381
13140,59827
13500,79211
13510,79211
13520,79211
13530,79211
13540,79211
13560,79211
13570,79211
13580,79211
13600,79211
13620,79211
13630,79211
13640,79211
15000,79211
15060,79211
15080,79211
15100,79211
15120,79211
15130,79211
15170,79211
15190,79211
15200,79211
15210,79211
15220,79211
15240,79211
15270,79211
15290,79211
15300,79211
15320,69179
15370,79211
15380,79211
15390,79211
15400,25160
15500,1778
15520,1778
15560,1778
15620,13683
15620,68364
15700,69436
15710,69436
15740,69436
15750,69436
15900,68835
15910,68835
15920,68835
15930,68835
15940,71019
15960,68835
15970,68835
15990,71019
16000,68835
16020,68835
16030,68835
16040,68835
16060,68835
16450,43135
16450,78167
16465,43135
16500,35587
16710,30319
16720,30319
16730,26569
16810,28257
16860,28257
16860,30738
16860,36814
16861,28257
16861,30738
16861,36814
16862,28257
16862,30738
16862,36814
16863,28257
16863,30738
16863,36814
16866,28257
