id,name
1,Skala Entertainment
2,Playdigious Originals
3,SN Mobile Technology
4,SQYD.studio
5,Susewind Games
6,Husky-Leaf Studios
7,AlgoX Interactive Ltd.
8,Contortionist Games
9,Procrastination Games
10,Hoffnung Haydn
11,Skelecrew Games
12,Insanity Studios LLC
13,Jon Kuntz
14,Simon Fredholm
15,一尾66
16,Timeless Games
17,Aellyn Studios
18,Skyward Digital
19,91Act
20,NOG Studio
21,CHARON
22,Glimmer Collection
23,DHDevStudio
24,Yorakeys
25, Cockroach Studio
26,My Next Games
27,AA Games
28,SHANNION
29,ZoOgame
30,白日梦
31,Arcus Games
32,VR Junkies
33,AmadeoxH
34,Omniconnection
35, Fury Games Production
36,Stereo7 Games
37,TitanStrike Games
38,Saluie Studios LLC
39,Hestios
40,Chubby Pixel Publishing
41,Daniel James
42,Dragon3DInteractive
43,SMB CLUB
44,Joshua Krauchi
45,NoSense Games
46,CFG Studios
47,TTK
48,WhisperGames
49,Alice Nowak
50,Jumbo Mana
51,Miniced
52,Playable Pictures
53,Hamster Game Studio
54,左宗棠
55,Il Pleut
56,LIGames
57,OnlyStuff
58,Pentamorph
59,unbeGames
60,May May Interactive
61,Stuart Dupree
62,Wize Studios
63,Dockside Games
64,WolfWare Studios
65,🚀 Raiser Games
66,Hayden Fisher
67,Narod 
68,TechLemon Ltd
69,Jamie D/Uk_Resistant
70,SmallSqurriel
71,Corvus Studio Yazilim Anonim Sirketi
72,daiCreative
73,Feelcraft Games
74,Maxim Soloha
75,旧媒介 Old Media Art
76,BMUTED
77,Dymchick1
78,azeemba
79,Orbifold Software
80,Data FTW
81,Joitri Games
82,Kristen Cheely 
83,Matthew Prater
84,MS Games and Software UG
85,Azmio
86,Scary Beasties
87,Zachary Losier
88,Lowraiz Games
89,Arm and Leg Studios
90,ImagiT Games
91,Hilda
92,JianBingGaming
93,大沃电艺
94,Audio Visual Enterprises S.A. 
95,jhoshitarou
96,Prisym Games
97,VR Triber
98,BlackMark Studio
99,Hugo Felipe
100,Gato de Franja
101,Ambiera
102,Milneh
103,Ironworks Games
104,Rascal Devworks
105,WeSoloAZ
106,Yesbox Studios
107,divisivesoftware
108,Zane Games
109,Ondresh
110,山灰猫 ShanHuiMao
111,Gamoksh Studio
112,Last Token
113,games.Sharbit
114,Sharkbomb Studios
115,Z&K Games
116,Tucasoft
117,Medieval Snail
118,Libredia Entertainment
119,Cleversan Software
120,Moback
121,BecomeANobody
122,Smol Bean Games
123,Shanghai huan zhen Info Tech Ltd
124,Jack Holt
125,Time Break Studios
126,Artyom Gudkov
127,Red bean Taiyaki
128,Happy Sphinx Studios
129,Ask An Enemy Studios
130,battle fire studio
131,Pgame
132,FIREHIVE Games
133,Crumana
134,800 North
135,Heyn Online Group UG & Co. KG
136,Blood Pact Studios
137,慕容元夜
138,SanForge Studio
139,Meister
140,Glowfrog Games
141,Protosprite
142,MrDoth
143,Milkstone Studios
144,Brytenwalda
145,KANEGON GAMES
146,BYKING Inc.
147,Clockstone
148,Gratitude Games
149,Merge Games Ltd
150,Crimsoncream
151,Snowyowl Studio
152,始于空006(SYK006)
153,Molleindustria
154,Roslin Studios
155,Foamy Brew Productions
156,Jesse Sultan
157,Doodle Donut
158,Genesz
159,Momentous Games
160,Scream Vault
161,Kitsune's Secrets
162,Go Around Games
163,Jetpack Collective
164,Olivette Noa
165,𝓛𝓮𝔁𝔂
166,Olivier PIERRE
167,Patchwork Games
168,Wojciech Malinowski
169,壱寝
170,DP Atelier
171,Doomasher Games Studio
172,Matic
173,A Frog's Pond
174,MARL
175,Piglet Studios
176,Digital Masquerade
177,招摇游戏工作室
178,Nathaniel Peter Яentrow
179,Toydea Inc.
180,The Alekon Company
181,Jiruo Software
182,LynchHead
183,QR Mosaics
184,Binogure Studio 🐺
185,Niji Games
186,Marcipu
187,Wild Mountains Games
188,TwoTone Studio
189,Surf Monster Studio
190,Anthopper Development
191,JeffreyBez Trillion Dollar Records
192,Dinoworldgames
193,Lumidia Games
194,Crane 51
195,Caleb Gannon
196,Dan Violet Sagmiller
197,Beyond Frames Entertainment
198,OasisGulfTechnology
199,Might And Delight
200,QUIET TOWN STUDIO™
201,Asuka Watanabe
202,SKYFOSTER
203,zhongjiayi
204,BEBONOZM
205,SirVern Productions
206,CGI Realms
207,Nelufide
208,Liam Healey
209,Split Rock Games
210,Malte Glade
211,Hypnos Team
212,zelun
213,Gamerz Gamez LLC
214,YNOT
215,Guarida Games Studio SL
216,Talpel Games
217,Asylum Corporation
218,Rose21
219,Gibbous Pig Games
220,Red Axe Games
221,ElDim
222,Cosmo Machia
223,Cushy Studio
224,MERGEN GAMES
225,Welcome to Paradise studio
226,Hail Harry
227,polydv
228,StoryForge Games
229,Retrace Gaming
230,Esben Jon Jensen
231,Tongsun
232,"Maple Whispering Co.,Ltd."
233,Delabs Inc
234,Beetruth
235,TPSG
236,ZhangZhaoWei
237,Eternal CODE Studio
238,_trackC Interactive LLC
239,danzibr
240,Blizer
241,lekCurts Studio
242,Orior Interactif
243,GenuImitation
244,Sus Patrol
245,The Storymakers
246,Minerva Game Studio
247,Dochungryest
248,myJeanDev
249,NONE
250,Neko Entertainment
251,Creed Games
252,Tosakia
253,Galaxy Pest Control
254,Robogames
255,zjf
256,Not Friendly Games
257,AT
258,The Breach Studios
259,Gabriel Almeida 
260,Tiny Nomads AB
261,Stonewake Studios
262,Acultproye
263,Huochairen Interactive Entertainment
264,Niket Patel
265,Wayway Inc
266,Avidar
267,N-Alt Lab
268,Sagas Studios
269,Orion Belt Games
270,ZanyCat
271,Dancing Lobster
272,DoppaGames
273,Flop
274,Xavier Moiny
275,Cold Beam Games
276,MANGO ANIME
277,The Space
278,Andrew Willman
279,Olie Games
280,Carterson Games
281,Pipera Games
282,Destiny.Games
283,Bikini Bottom
284,Multisekai
285,Artem Breineng
286,Big Nuts
287,Hittable Studio
288,Polar Bunny Ltd
289,Idea Binding Lab
290,Theory Georgiou
291,TheNilusss
292,BEST KIRIN GLOBAL LIMITED
293,morus.pro
294,Nyanghulu
295,Nirmita Dreams
296,Altushka
297,Aidan Waite
298,StrandGames
299,Tuji Game
300,陵水班图网络科技有限公司
301,BallMan
302,MsGlobal
303,Ben Shattock
304,undownsidable
